time,h_GR,h_GAF
0.0721,-1.18986e-21,-1.18986e-21
0.0726,1.72472e-22,1.72472e-22
0.0731,1.48304e-21,1.48304e-21
0.0736,2.30956e-21,2.30956e-21
0.0741,2.37547e-21,2.37547e-21
0.0746,1.65371e-21,1.65371e-21
0.0751,3.79031e-22,3.79031e-22
0.0756,-1.02686e-21,-1.02686e-21
0.0761,-2.09405e-21,-2.09405e-21
0.0766,-2.46160e-21,-2.46160e-21
0.0771,-2.00075e-21,-2.00075e-21
0.0776,-8.61533e-22,-8.61533e-22
0.0781,5.74290e-22,5.74290e-22
0.0786,1.82002e-21,1.82002e-21
0.0791,2.44883e-21,2.44883e-21
0.0796,2.24081e-21,2.24081e-21
0.0801,1.26149e-21,1.26149e-21
0.0806,-1.56812e-22,-1.56812e-22
0.0811,-1.52630e-21,-1.52630e-21
0.0816,-2.37093e-21,-2.37093e-21
0.0821,-2.39248e-21,-2.39248e-21
0.0826,-1.57739e-21,-1.57739e-21
0.0831,-2.05536e-22,-2.05536e-22
0.0836,1.24411e-21,1.24411e-21
0.0841,2.25986e-21,2.25986e-21
0.0846,2.47828e-21,2.47828e-21
0.0851,1.81566e-21,1.81566e-21
0.0856,5.01976e-22,5.01976e-22
0.0861,-9.96903e-22,-9.96903e-22
0.0866,-2.14332e-21,-2.14332e-21
0.0871,-2.52079e-21,-2.52079e-21
0.0876,-1.98668e-21,-1.98668e-21
0.0881,-7.28122e-22,-7.28122e-22
0.0886,8.01307e-22,8.01307e-22
0.0891,2.04365e-21,2.04365e-21
0.0896,2.54005e-21,2.54005e-21
0.0901,2.10152e-21,2.10152e-21
0.0906,8.83030e-22,8.83030e-22
0.0911,-6.68786e-22,-6.68786e-22
0.0916,-1.97773e-21,-1.97773e-21
0.0921,-2.55174e-21,-2.55174e-21
0.0926,-2.16916e-21,-2.16916e-21
0.0931,-9.66567e-22,-9.66567e-22
0.0936,6.07298e-22,6.07298e-22
0.0941,1.95715e-21,1.95715e-21
0.0946,2.56602e-21,2.56602e-21
0.0951,2.19450e-21,2.19450e-21
0.0956,9.77320e-22,9.77320e-22
0.0961,-6.22626e-22,-6.22626e-22
0.0966,-1.98838e-21,-1.98838e-21
0.0971,-2.58647e-21,-2.58647e-21
0.0976,-2.17670e-21,-2.17670e-21
0.0981,-9.11199e-22,-9.11199e-22
0.0986,7.18965e-22,7.18965e-22
0.0991,2.07230e-21,2.07230e-21
0.0996,2.60907e-21,2.60907e-21
0.1001,2.10815e-21,2.10815e-21
0.1006,7.60963e-22,7.60963e-22
0.1011,-8.98434e-22,-8.98434e-22
